[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: Tesla K80
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				317.5
   2048				634.8
   3072				913.4
   4096				1171.3
   5120				1406.6
   6144				1632.3
   7168				1842.6
   8192				2013.5
   9216				2220.9
   10240			2383.9
   11264			2515.7
   12288			2706.0
   13312			2848.3
   14336			2979.4
   15360			3109.0
   16384			3220.8
   17408			3346.2
   18432			3456.4
   19456			3565.0
   20480			3658.8
   22528			3794.4
   24576			4011.6
   26624			4165.6
   28672			4312.9
   30720			4430.3
   32768			4560.4
   34816			4679.6
   36864			4782.1
   38912			4804.2
   40960			4976.3
   43008			5027.6
   45056			5134.2
   47104			5224.6
   49152			5298.3
   51200			5361.9
   61440			5662.8
   71680			5893.5
   81920			6059.0
   92160			6223.6
   102400			6365.1
   204800			6982.5
   307200			7250.2
   409600			7379.0
   512000			7426.0
   614400			7479.7
   716800			7519.3
   819200			7550.3
   921600			7287.0
   1024000			7304.0
   1126400			7316.8
   2174976			7273.8
   3223552			7271.5
   4272128			7328.6
   5320704			7352.7
   6369280			7373.6
   7417856			7396.0
   8466432			7413.0
   9515008			7444.9
   10563584			7432.2
   11612160			8442.1
   12660736			9321.4
   13709312			9319.0
   14757888			10354.1
   15806464			10354.7
   16855040			11339.8
   18952192			11548.8
   21049344			11580.4
   23146496			11569.9
   25243648			11577.5
   27340800			11553.3
   29437952			11561.2
   31535104			11559.3
   33632256			11553.5
   37826560			11588.3
   42020864			11623.2
   46215168			11607.5
   50409472			11639.9
   54603776			11647.8
   58798080			11673.8
   62992384			11686.4
   67186688			11678.7

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				438.8
   2048				894.5
   3072				1328.7
   4096				1690.6
   5120				2238.5
   6144				2572.7
   7168				3087.9
   8192				3348.1
   9216				3738.5
   10240			4023.4
   11264			4257.5
   12288			4549.3
   13312			4744.2
   14336			4955.8
   15360			5153.4
   16384			5332.8
   17408			5508.0
   18432			5678.4
   19456			5827.4
   20480			5944.5
   22528			6256.8
   24576			6489.6
   26624			6577.9
   28672			6941.7
   30720			7142.3
   32768			7324.9
   34816			7505.7
   36864			7601.9
   38912			7818.2
   40960			7960.3
   43008			8018.7
   45056			8209.4
   47104			8336.2
   49152			8432.7
   51200			8519.2
   61440			8986.3
   71680			9337.9
   81920			9609.8
   92160			9834.6
   102400			10033.7
   204800			10964.5
   307200			11352.4
   409600			11539.2
   512000			11605.1
   614400			11689.1
   716800			11739.0
   819200			11784.6
   921600			11364.2
   1024000			11440.3
   1126400			11416.8
   2174976			11274.6
   3223552			11427.2
   4272128			11415.1
   5320704			11430.7
   6369280			11557.9
   7417856			11485.7
   8466432			11584.4
   9515008			11555.0
   10563584			11542.9
   11612160			11580.1
   12660736			11545.4
   13709312			11559.3
   14757888			11564.2
   15806464			11548.9
   16855040			11568.3
   18952192			11631.0
   21049344			11640.7
   23146496			11677.2
   25243648			11726.1
   27340800			11697.5
   29437952			11722.2
   31535104			11736.4
   33632256			11706.2
   37826560			11709.3
   42020864			11706.0
   46215168			11708.4
   50409472			11705.4
   54603776			11708.2
   58798080			11708.6
   62992384			11707.8
   67186688			11709.1

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				341.3
   2048				704.5
   3072				1026.5
   4096				1448.5
   5120				1713.3
   6144				2042.3
   7168				2397.0
   8192				2662.3
   9216				2969.0
   10240			3363.5
   11264			3939.4
   12288			4700.1
   13312			5049.7
   14336			5394.6
   15360			5818.3
   16384			6199.2
   17408			6572.4
   18432			7016.8
   19456			7333.0
   20480			7708.0
   22528			8497.1
   24576			9300.6
   26624			10547.8
   28672			10848.0
   30720			11019.0
   32768			12210.8
   34816			12756.6
   36864			13161.0
   38912			13789.7
   40960			14019.7
   43008			13951.6
   45056			14555.7
   47104			15339.9
   49152			16017.1
   51200			16748.0
   61440			19593.5
   71680			22647.3
   81920			26395.0
   92160			28784.2
   102400			32089.1
   204800			64102.6
   307200			80913.1
   409600			105214.4
   512000			115458.5
   614400			127947.0
   716800			140305.3
   819200			118985.3
   921600			105711.2
   1024000			109342.2
   1126400			119507.0
   2174976			140101.1
   3223552			146877.7
   4272128			152427.4
   5320704			156036.8
   6369280			158614.5
   7417856			160457.5
   8466432			161828.8
   9515008			162786.3
   10563584			163838.0
   11612160			164594.0
   12660736			164999.4
   13709312			165879.6
   14757888			166193.4
   15806464			166454.7
   16855040			167214.4
   18952192			167409.8
   21049344			168245.3
   23146496			168721.8
   25243648			168829.5
   27340800			169060.6
   29437952			169422.2
   31535104			169593.5
   33632256			169695.8
   37826560			169958.7
   42020864			170517.7
   46215168			170661.3
   50409472			170761.3
   54603776			171038.1
   58798080			170994.5
   62992384			171063.1
   67186688			170529.6

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
